vol -f analyse-memoire.dmp windows.pstree

Volatility 3 Framework 2.11.0
Progress:  100.00		PDB scanning finished                                
PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path
******* 2624	5408	msedge.exe	0xa50a20628080	15	-	1	False	2025-04-01 22:14:06.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=renderer --field-trial-handle=1960,16029894690997147447,3612008501076933356,131072 --disable-gpu-compositing --lang=fr --disable-client-side-phishing-detection --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=11 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5504 /prefetch:1	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
******* 7240	5408	msedge.exe	0xa50a272bf080	11	-	1	False	2025-04-01 22:13:42.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=gpu-process --field-trial-handle=1960,16029894690997147447,3612008501076933356,131072 --gpu-preferences=UAAAAAAAAADgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAAAAAAAAAeAAAAAAAAAAoAAAABAAAACAAAAAAAAAAKAAAAAAAAAAwAAAAAAAAADgAAAAAAAAAEAAAAAAAAAAAAAAADQAAABAAAAAAAAAAAQAAAA0AAAAQAAAAAAAAAAQAAAANAAAAEAAAAAAAAAAHAAAADQAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=2196 /prefetch:2	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
******* 3560	5408	msedge.exe	0xa50a20ab9080	14	-	1	False	2025-04-01 22:14:07.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=renderer --field-trial-handle=1960,16029894690997147447,3612008501076933356,131072 --disable-gpu-compositing --lang=fr --disable-client-side-phishing-detection --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=12 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6432 /prefetch:1	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
******* 7532	5408	msedge.exe	0xa50a204bf0c0	15	-	1	False	2025-04-01 22:13:42.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=renderer --field-trial-handle=1960,16029894690997147447,3612008501076933356,131072 --lang=fr --disable-client-side-phishing-detection --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=6 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3804 /prefetch:1	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
******* 4920	5408	msedge.exe	0xa50a20e640c0	7	-	1	False	2025-04-01 22:13:42.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=1960,16029894690997147447,3612008501076933356,131072 --lang=fr --service-sandbox-type=utility --mojo-platform-channel-handle=2948 /prefetch:8	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
******* 6908	5408	msedge.exe	0xa50a29b2c340	8	-	1	False	2025-04-01 22:13:41.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=crashpad-handler "--user-data-dir=C:\Users\userfcsc-10\AppData\Local\Microsoft\Edge\User Data" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\userfcsc-10\AppData\Local\Microsoft\Edge\User Data\Crashpad" "--metrics-dir=C:\Users\userfcsc-10\AppData\Local\Microsoft\Edge\User Data" --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=92.0.4515.131 "--annotation=exe=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --annotation=plat=Win64 "--annotation=prod=Microsoft Edge" --annotation=ver=92.0.902.67 --initial-client-data=0x124,0x128,0x12c,0x100,0x130,0x7ffcf79d46f8,0x7ffcf79d4708,0x7ffcf79d4718	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
****** 8968	5036	soffice.exe	0xa50a29831300	3	-	1	False	2025-04-01 22:11:34.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\LibreOffice\program\soffice.exe	"C:\Program Files\LibreOffice\program\soffice.exe" -o "C:\Users\userfcsc-10\Desktop\[SECRET-SF][TLP-RED]Plan FCSC 2026.odt"	C:\Program Files\LibreOffice\program\soffice.exe
******* 9048	8968	soffice.bin	0xa50a297e7240	13	-	1	False	2025-04-01 22:11:34.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\LibreOffice\program\soffice.bin	"C:\Program Files\LibreOffice\program\soffice.exe" "-o" "C:\Users\userfcsc-10\Desktop\[SECRET-SF][TLP-RED]Plan FCSC 2026.odt" "-env:OOO_CWD=2C:\\Users\\userfcsc-10\\Desktop"	C:\Program Files\LibreOffice\program\soffice.bin
****** 8492	5036	OneDrive.exe	0xa50a296c6080	27	-	1	True	2025-04-01 22:11:16.000000 UTC	N/A	\Device\HarddiskVolume3\Users\userfcsc-10\AppData\Local\Microsoft\OneDrive\OneDrive.exe	"C:\Users\userfcsc-10\AppData\Local\Microsoft\OneDrive\OneDrive.exe" /background	C:\Users\userfcsc-10\AppData\Local\Microsoft\OneDrive\OneDrive.exe
****** 8244	5036	SecurityHealth	0xa50a29d7c080	1	-	1	False	2025-04-01 22:11:15.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\SecurityHealthSystray.exe	"C:\Windows\System32\SecurityHealthSystray.exe" 	C:\Windows\System32\SecurityHealthSystray.exe
****** 8376	5036	VBoxTray.exe	0xa50a29d7f080	14	-	1	False	2025-04-01 22:11:15.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\VBoxTray.exe	"C:\Windows\System32\VBoxTray.exe" 	C:\Windows\System32\VBoxTray.exe
****** 3132	5036	powershell.exe	0xa50a2906c080	12	-	1	False	2025-04-01 22:15:17.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe	"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" 	C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
******* 3968	3132	conhost.exe	0xa50a20630080	4	-	1	False	2025-04-01 22:15:17.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4	C:\Windows\system32\conhost.exe
******* 5896	3132	DumpIt.exe	0xa50a20ac0080	6	-	1	False	2025-04-01 22:17:14.000000 UTC	N/A	\Device\HarddiskVolume3\Users\userfcsc-10\Desktop\DumpIt.exe	"C:\Users\userfcsc-10\Desktop\DumpIt.exe" /T DMP /O FCSC2025.dmp	C:\Users\userfcsc-10\Desktop\DumpIt.exe
** 2440	800	svchost.exe	0xa50a2738b240	3	-	0	False	2025-04-01 22:10:45.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection	C:\Windows\System32\svchost.exe
** 5828	800	svchost.exe	0xa50a29607240	9	-	0	False	2025-04-01 22:10:58.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UsoSvc	C:\Windows\system32\svchost.exe
** 2956	800	svchost.exe	0xa50a27538080	1	-	0	False	2025-04-01 22:10:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s SstpSvc	C:\Windows\system32\svchost.exe
** 3084	800	svchost.exe	0xa50a276a62c0	2	-	0	False	2025-04-01 22:10:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s WdiServiceHost	C:\Windows\System32\svchost.exe
** 908	800	svchost.exe	0xa50a2777b240	24	-	0	False	2025-04-01 22:10:50.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k wsappx -p -s AppXSvc	C:\Windows\system32\svchost.exe
** 8332	800	svchost.exe	0xa50a29f88080	3	-	0	False	2025-04-01 22:12:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p	C:\Windows\System32\svchost.exe
** 1040	800	svchost.exe	0xa50a26258280	1	-	0	False	2025-04-01 22:10:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService	C:\Windows\System32\svchost.exe
** 1168	800	svchost.exe	0xa50a262cf300	2	-	0	False	2025-04-01 22:10:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc	C:\Windows\system32\svchost.exe
** 1936	800	svchost.exe	0xa50a271ca2c0	6	-	0	False	2025-04-01 22:10:45.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm	C:\Windows\System32\svchost.exe
** 2064	800	svchost.exe	0xa50a2768c240	5	-	0	False	2025-04-01 22:10:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc	C:\Windows\System32\svchost.exe
** 3856	800	SearchIndexer.	0xa50a25fb8080	13	-	0	False	2025-04-01 22:10:49.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\SearchIndexer.exe	C:\Windows\system32\SearchIndexer.exe /Embedding	C:\Windows\system32\SearchIndexer.exe
** 8976	800	svchost.exe	0xa50a299f62c0	11	-	0	False	2025-04-01 22:11:34.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc	C:\Windows\system32\svchost.exe
** 1944	800	svchost.exe	0xa50a2722a2c0	5	-	0	False	2025-04-01 22:10:45.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	C:\Windows\System32\svchost.exe
** 2712	800	svchost.exe	0xa50a27442300	5	-	0	False	2025-04-01 22:10:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation	C:\Windows\System32\svchost.exe
** 1816	800	svchost.exe	0xa50a2762e240	4	-	0	False	2025-04-01 22:10:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s LanmanServer	C:\Windows\system32\svchost.exe
** 3480	800	svchost.exe	0xa50a27cd8300	1	-	0	False	2025-04-01 22:10:51.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc	C:\Windows\system32\svchost.exe
** 4504	800	svchost.exe	0xa50a1f93a080	5	-	1	False	2025-04-01 22:10:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService	C:\Windows\system32\svchost.exe
** 5148	800	svchost.exe	0xa50a29065240	3	-	0	False	2025-04-01 22:10:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s camsvc	C:\Windows\system32\svchost.exe
** 9112	800	svchost.exe	0xa50a29e4e080	9	-	0	False	2025-04-01 22:12:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc	C:\Windows\System32\svchost.exe
** 1440	800	svchost.exe	0xa50a27673080	8	-	0	False	2025-04-01 22:12:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc	C:\Windows\System32\svchost.exe
** 1060	800	svchost.exe	0xa50a26276300	3	-	0	False	2025-04-01 22:10:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts	C:\Windows\System32\svchost.exe
** 1956	800	svchost.exe	0xa50a271f02c0	2	-	0	False	2025-04-01 22:10:45.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p	C:\Windows\system32\svchost.exe
** 3108	800	svchost.exe	0xa50a276ae240	12	-	0	False	2025-04-01 22:10:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs	C:\Windows\System32\svchost.exe
** 936	800	svchost.exe	0xa50a26148240	10	-	0	False	2025-04-01 22:10:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p	C:\Windows\system32\svchost.exe
*** 1800	936	rundll32.exe	0xa50a270b9200	4	-	0	False	2025-04-01 22:10:45.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\rundll32.exe	rundll32.exe	C:\Windows\system32\rundll32.exe
*** 5512	936	RuntimeBroker.	0xa50a294af340	3	-	1	False	2025-04-01 22:10:58.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 7184	936	SkypeApp.exe	0xa50a29dc6080	14	-	1	False	2025-04-01 22:11:01.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeApp.exe	"C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeApp.exe" -ServerName:App.AppXffn3yxqvgawq9fpmnhy90fr3y01d1t5b.mca	C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeApp.exe
*** 7696	936	RuntimeBroker.	0xa50a29951340	2	-	1	False	2025-04-01 22:11:03.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 7572	936	LockApp.exe	0xa50a2969b080	16	-	1	False	2025-04-01 22:11:03.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.ex"C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca	C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe
*** 7832	936	WinStore.App.e	0xa50a20fca080	12	-	1	False	2025-04-01 22:14:33.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.WindowsStore_11910.1002.5.0_x64__8wekyb3d8bbwe\WinStore.App.exe	"C:\Program Files\WindowsApps\Microsoft.WindowsStore_11910.1002.5.0_x64__8wekyb3d8bbwe\WinStore.App.exe" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca	C:\Program Files\WindowsApps\Microsoft.WindowsStore_11910.1002.5.0_x64__8wekyb3d8bbwe\WinStore.App.exe
*** 6136	936	RuntimeBroker.	0xa50a292b3340	9	-	1	False	2025-04-01 22:10:57.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 5404	936	UserOOBEBroker	0xa50a291d70c0	4	-	1	False	2025-04-01 22:14:47.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\oobe\UserOOBEBroker.exe	C:\Windows\System32\oobe\UserOOBEBroker.exe -Embedding	C:\Windows\System32\oobe\UserOOBEBroker.exe
*** 2848	936	TextInputHost.	0xa50a20e6a080	11	-	1	False	2025-04-01 22:13:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe	"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe" -ServerName:InputApp.AppXk0k6mrh4r2q0ct33a9wgbez0x7v9cz5y.mca	C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe
*** 4644	936	StartMenuExper	0xa50a29358080	9	-	1	False	2025-04-01 22:10:57.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe	"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca	C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
*** 4516	936	ApplicationFra	0xa50a2982c080	4	-	1	False	2025-04-01 22:14:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe	C:\Windows\system32\ApplicationFrameHost.exe -Embedding	C:\Windows\system32\ApplicationFrameHost.exe
*** 7208	936	SkypeBackgroun	0xa50a29dee240	4	-	1	False	2025-04-01 22:11:01.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe	"C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe" -ServerName:SkypeBackgroundHost	C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe
*** 7216	936	RuntimeBroker.	0xa50a299062c0	4	-	1	False	2025-04-01 22:14:35.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 7220	936	smartscreen.ex	0xa50a29d7d340	6	-	1	False	2025-04-01 22:11:14.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smartscreen.exe	C:\Windows\System32\smartscreen.exe -Embedding	C:\Windows\System32\smartscreen.exe
*** 6720	936	SearchApp.exe	0xa50a299ba2c0	44	-	1	False	2025-04-01 22:11:00.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe	"C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca	C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
*** 5188	936	SystemSettings	0xa50a20ab2300	20	-	1	False	2025-04-01 22:14:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\ImmersiveControlPanel\SystemSettings.exe	"C:\Windows\ImmersiveControlPanel\SystemSettings.exe" -ServerName:microsoft.windows.immersivecontrolpanel	C:\Windows\ImmersiveControlPanel\SystemSettings.exe
*** 5708	936	RuntimeBroker.	0xa50a29f850c0	3	-	1	False	2025-04-01 22:11:06.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 3020	936	WmiPrvSE.exe	0xa50a296c2080	5	-	0	False	2025-04-01 22:14:55.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe	C:\Windows\system32\wbem\wmiprvse.exe
*** 8652	936	dllhost.exe	0xa50a274aa080	8	-	1	False	2025-04-01 22:15:13.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}	C:\Windows\system32\DllHost.exe
*** 6116	936	RuntimeBroker.	0xa50a29f9c340	1	-	1	False	2025-04-01 22:11:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
